id,method,hours,motivation,score
L001,传统课堂,10.9,5,83
L002,传统课堂,9.2,3,68
L003,传统课堂,7.6,3,63
L004,沉浸式,6.3,5,77
L005,传统课堂,11.3,5,88
L006,传统课堂,7.5,5,70
L007,沉浸式,12.0,5,86
L008,传统课堂,6.1,5,69
L009,沉浸式,8.1,5,83
L010,沉浸式,9.2,5,81
L011,传统课堂,9.0,5,75
L012,传统课堂,4.8,6,69
L013,沉浸式,6.3,4,67
L014,沉浸式,7.5,5,79
L015,传统课堂,5.8,5,66
L016,传统课堂,9.8,5,89
L017,传统课堂,9.5,4,73
L018,沉浸式,2.9,5,71
L019,沉浸式,3.3,6,75
L020,沉浸式,4.7,3,60
L021,沉浸式,8.3,5,74
L022,传统课堂,13.3,5,86
L023,传统课堂,7.0,4,73
L024,传统课堂,8.7,4,70
L025,沉浸式,5.2,3,64
L026,沉浸式,5.3,3,51
L027,沉浸式,2.9,3,60
L028,沉浸式,7.9,4,80
L029,沉浸式,10.5,4,87
L030,沉浸式,7.1,4,78
L031,沉浸式,11.6,5,88
L032,沉浸式,8.5,4,78
L033,传统课堂,7.9,4,77
L034,沉浸式,9.3,4,80
L035,沉浸式,9.3,3,64
L036,沉浸式,11.0,4,92
L037,传统课堂,5.9,4,60
L038,传统课堂,2.1,6,72
L039,传统课堂,8.3,6,89
L040,传统课堂,6.4,6,79
L041,沉浸式,7.9,7,92
L042,传统课堂,12.3,3,91
L043,传统课堂,5.1,5,61
L044,沉浸式,10.0,5,88
L045,传统课堂,10.5,5,83
L046,传统课堂,9.2,7,78
L047,沉浸式,10.9,7,100
L048,沉浸式,6.8,6,78
L049,沉浸式,6.2,5,72
L050,传统课堂,10.7,3,77
L051,沉浸式,9.9,3,86
L052,传统课堂,11.6,5,80
L053,沉浸式,8.6,4,76
L054,沉浸式,12.2,3,89
L055,传统课堂,7.3,4,62
L056,传统课堂,5.2,5,63
L057,传统课堂,2.7,6,60
L058,传统课堂,5.1,4,62
L059,传统课堂,10.1,4,76
L060,传统课堂,4.2,5,77
L061,沉浸式,6.8,5,83
L062,沉浸式,13.5,3,89
L063,传统课堂,10.2,5,79
L064,传统课堂,12.7,7,98
L065,传统课堂,5.4,5,71
L066,沉浸式,1.6,3,64
L067,沉浸式,11.9,5,99
L068,传统课堂,4.3,2,51
L069,沉浸式,8.2,2,59
L070,传统课堂,8.6,5,76
L071,传统课堂,5.5,5,69
L072,沉浸式,12.0,4,90
L073,传统课堂,12.0,2,72
L074,沉浸式,9.4,3,77
L075,沉浸式,7.9,5,84
L076,沉浸式,8.5,5,86
L077,传统课堂,5.2,5,76
L078,传统课堂,7.4,6,64
L079,传统课堂,7.7,4,61
L080,沉浸式,5.8,5,84
L081,传统课堂,10.2,4,81
L082,沉浸式,4.3,4,74
L083,沉浸式,6.8,4,73
L084,传统课堂,2.1,6,60
L085,沉浸式,9.3,3,79
L086,传统课堂,9.9,6,77
L087,沉浸式,9.6,6,79
L088,沉浸式,15.6,5,93
L089,沉浸式,10.4,5,88
L090,传统课堂,5.6,3,67
L091,传统课堂,14.9,7,100
L092,沉浸式,5.6,6,80
L093,传统课堂,10.1,5,83
L094,传统课堂,9.9,5,90
L095,传统课堂,5.7,5,65
L096,沉浸式,11.6,4,81
L097,传统课堂,8.9,5,74
L098,沉浸式,9.5,3,78
L099,传统课堂,6.2,5,83
L100,沉浸式,11.4,4,84
L101,传统课堂,5.8,6,80
L102,传统课堂,3.4,4,58
L103,传统课堂,11.7,5,87
L104,传统课堂,6.9,7,82
L105,沉浸式,8.1,5,84
L106,沉浸式,13.0,5,98
L107,传统课堂,11.0,5,78
L108,沉浸式,9.6,3,88
L109,沉浸式,10.8,6,97
L110,沉浸式,6.1,6,75
L111,传统课堂,10.0,5,83
L112,沉浸式,10.9,7,88
L113,传统课堂,10.0,4,78
L114,沉浸式,7.5,2,64
L115,沉浸式,1.0,4,65
L116,沉浸式,9.4,3,96
L117,沉浸式,8.3,4,88
L118,沉浸式,7.0,5,83
L119,传统课堂,10.0,3,69
L120,传统课堂,8.7,4,76
